sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
46,12.313061,F0,normal_operation,10.577242,11.483951,12.313061,0.953079,-6.036168,-0.268817,11.935484,94.941349,-2.72381,1.735819
47,12.562796,F0,normal_operation,11.236149,11.401305,12.562796,1.001955,-5.987292,-0.268817,9.765396,93.132942,-2.776699,1.326647
48,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.148583,-5.938416,-0.268817,5.42522,89.516129,-2.929293,1.653599
49,12.479497,F0,normal_operation,11.566642,11.401305,12.479497,1.099707,-5.889541,-0.268817,5.42522,89.516129,-2.888889,1.078192
50,12.313061,F0,normal_operation,10.659462,11.153638,12.313061,1.001955,-5.889541,-0.171065,5.063539,91.324536,-2.792079,1.653599
51,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.099707,-5.840665,-0.219941,6.329423,88.611926,-2.897959,1.653599
52,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,0.953079,-5.889541,-0.268817,7.595308,55.337243,-2.745098,1.73679
53,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.050831,-5.889541,-0.219941,11.754643,90.420332,-2.84,1.653599
54,12.313061,F0,normal_operation,10.659462,11.897886,12.313061,0.904203,-6.573803,-0.024438,1.989247,-21.158358,-2.615385,1.653599
55,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.001955,-5.889541,-0.219941,9.946237,91.324536,-2.792079,1.653599
56,12.229922,F0,normal_operation,10.659462,11.980819,12.229922,1.001955,-5.889541,-0.219941,4.521017,54.794721,-2.792079,1.57046
57,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,0.953079,-5.987292,-0.219941,8.13783,94.037146,-2.730769,1.653599
58,14.325898,F0,normal_operation,10.659462,14.325898,12.313061,0.953079,-6.036168,-0.219941,8.13783,132.917889,-2.72381,3.666436
59,11.815002,F0,normal_operation,10.248742,11.401305,11.815002,1.001955,-5.987292,-0.268817,9.765396,55.879765,-2.776699,1.56626
60,12.313061,F0,normal_operation,10.659462,11.483951,12.313061,1.050831,-6.085044,-0.317693,13.924731,94.037146,-2.807692,1.653599
61,12.146836,F0,normal_operation,10.166709,11.483951,12.146836,1.001955,-6.085044,-0.268817,11.935484,56.964809,-2.761905,1.980127
62,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.001955,-5.987292,-0.219941,4.521017,93.132942,-2.776699,1.653599
