dataset_id,title_ru,source_url,license_note,features_file,diagnostics_file,metadata_file,prepared
zenodo_motor_temperature,"ElectricMotorTemperature, Zenodo TSML Archive",https://zenodo.org/records/11235562,CC BY 4.0; прямая загрузка файлов формата .ts из Zenodo,data/processed/external/zenodo_motor_temperature_features.csv,data/processed/external/zenodo_motor_temperature_diagnostics.csv,data/processed/external/zenodo_motor_temperature_metadata.md,True
zenodo_pmsm_inverter_fault,Zenodo PMSM inverter fault diagnosis,https://zenodo.org/records/14482932,CC BY 4.0,data/processed/external/zenodo_pmsm_inverter_fault_features.csv,data/processed/external/zenodo_pmsm_inverter_fault_diagnostics.csv,data/processed/external/zenodo_pmsm_inverter_fault_metadata.md,True
mendeley_ev_powertrain_efficiency,"Processed Data for EV Powertrain Efficiency, Mendeley Data",https://data.mendeley.com/datasets/kbwr2z8r3y,CC BY 4.0,data/processed/external/mendeley_ev_powertrain_efficiency_features.csv,data/processed/external/mendeley_ev_powertrain_efficiency_diagnostics.csv,data/processed/external/mendeley_ev_powertrain_efficiency_metadata.md,True
